OBJECTID,STREET,ROUTE,START,END_,SPD,DATE,CD,PD,LEN,ACC,VOL,RATE,TYPE,F85th,NEW,LOCAL,MEAN_SPD,BGN_PACE,PRCNT_PACE,Jurisdiction,on_hold,reason_for_on_hold,Comment,F50th,GlobalID,Shape__Length
105,CYPRESS AV,,CONSTANCE DR,STEVENS CREEK BL,25,2017-04-10T00:00:00.000Z,1,N,2350,4,700,11.73,"2, undivided",30,,0,,22,87,CITY,0,,,26,8881ef17-8c45-4a12-8d29-8bf3150eb66a,2331.41143112714
106,CYPRESS AV,,WILLIAMS RD,MOORPARK AV,30,2017-04-10T00:00:00.000Z,1,N,2600,3,1600,3.48,"2, undivided",31,,0,,22,84,CITY,0,,,27,cd6ed0e9-1ff4-4fc1-b753-934095bd94e2,2642.07100023731
107,JULIAN ST,,MARKET ST,THIRD ST,25,2004-12-24T00:00:00.000Z,3,V,1300,199,7600,18.79,WB / 2,31, ,0,28,23,87,CITY,0,,,,d7730e8b-80e7-4ed5-9ed8-99bd477fdb2e,1219.28182434952
108,TAYLOR ST,,SR-87,FIRST ST,30,2017-02-03T00:00:00.000Z,3,V,1250,34,23800,5.51,"4, divided",31,,0,,23,85,CITY,0,,,27,271d5ee9-8820-4e02-896c-152e7159593e,1490.49248499711
109,DANA AV,,SAN CARLOS ST,DAVIS ST,25,2017-06-30T00:00:00.000Z,6,F,6350,14,2550,4.17,"2, divided/undivided",27.3, ,0,,19,90,CITY,0,,,23,56d6ef7e-2742-43fd-916a-9ff7a12ea5cc,6333.13269472702
110,DANIEL MALONEY DR,,SILVER CREEK RD,NIEMAN BL,30,2012-02-22T00:00:00.000Z,8,P,3100,25,9700,4.01,"2, undivided",32.5, ,0,,24,90,CITY,0,,,28.5,f0a63165-7767-4790-afff-0b4aee20ee3c,3144.42070103099
111,DE ANZA BL,,PROSPECT  RD,BOLLINGER  RD,40,2012-05-03T00:00:00.000Z,1,N,6650,39,37450,0.76,"6, divided",42, ,0,,34,87,CITY,0,,,38.3,de643927-4b2e-40ae-9b62-ea1d805c20a8,6650.04402225249
112,DELTA  RD,,SAN FELIPE RD,MACKIN WOODS LN,30,2016-01-27T00:00:00.000Z,8,P,4650,9,5100,1.83,"2, divided",37,,0,,29,80,CITY,0,,,32.5,a48867fc-bf08-4d7e-a8a7-1c13c5b792c1,4616.5149437842
113,DOYLE RD,,LAWRENCE EX,SARATOGA AV,35,2014-10-09T00:00:00.000Z,1,N,4800,8,9000,0.89,"2, undivided w/ 2-way LT lane",37, ,0,,30,90,CITY,0,,,34,716415d2-caa9-4b54-8280-14ac37d890a3,4870.67855775452
114,DRY CREEK RD,,BASCOM AV,HICKS AV,25,2013-10-21T00:00:00.000Z,6,T,10520,12,1850,2.97,"2, undivided",29.7, ,0,,23,94,CITY,0,,,28.3,251765ca-d7c7-45a3-98a7-694dd889a5c9,10316.7181049432
115,EDEN AV,,MOORPARK AV,WILLIAMS RD,25,2002-10-06T00:00:00.000Z,1,N,2450,7,1800,8,a / 2,33, ,0,28,25,77,CITY,0,,,,703f4238-d63b-4bdc-8003-ff234e62db62,2646.87321951392
116,EDEN AV,,WILLIAMS RD,PAYNE AV,25,2002-10-06T00:00:00.000Z,1,N,2550,8,2700,5.314,a / 2,34, ,0,29,26,77,CITY,0,,,,70f07634-8666-42eb-810f-c52a881cff07,2653.38237344382
117,EDENVALE AV,,CHYNOWETH AV,SADDLEBROOK DR,30,2019-02-06T00:00:00.000Z,2,X,2200,2,3650,1.2,"2, undivided",34, ,0,,27,87,CITY,0,,,32,67703a2e-d470-4174-8814-1cd59b46c440,2235.3200484363
118,EDUCATIONAL PARK DR,,McKEE RD,MABURY RD,30,2014-04-14T00:00:00.000Z,5,W,4000,8,4800,2.01,"2, divided/undivided",32,,0,,24,85,CITY,0,,,28.5,933fecc9-b38c-4286-8173-1aeeb4e37d65,4080.60723548835
119,ELEVENTH ST,,HUMBOLDT ST,HEDDING ST,30,2016-05-12T00:00:00.000Z,3,VK,14650,183,25700,2.34,"2-3, undivided",34.3, ,0,,26,86,CITY,0,,,30.5,969f0f88-2135-4941-9bf1-c12d5bebcdb2,14945.2473282367
120,FARNSWORTH DR,,SAN FELIPE RD,SILVER CREEK VALLEY RD,35,2016-04-25T00:00:00.000Z,8,P,5200,4,9250,0.4,"2, undivided",39, ,0,,30,87,CITY,0,,,35.5,59b2b3cc-5a31-489b-8b41-a55f9e41bda1,5202.49948542145
121,FIFTH ST (L),,COMMERCIAL ST,JULIAN ST,25,1990-05-10T00:00:00.000Z,3,KR,7250,96,2600,4.62,a / 2,32, ,1,27.400000,40.5,36,CITY,0,,,,5e823354-6f6f-4d44-aaea-24da60fd11fe,7243.59091730308
122,FIRST ST,,SAN SALVADOR ST,ST JOHN ST,20,2015-10-26T00:00:00.000Z,3,,3250,33,4300,11.39,"2, undivided",21.5,,0,,17,99,CITY,0,,,19.5,3baece95-016e-412a-8e83-9b978fd72319,3234.64946707594
123,FIRST ST,,BROKAW RD,SR-237,45,2012-06-25T00:00:00.000Z,4,R,20900,104,16300,1.47,"4-6, divided",46.3, ,0,,37,74,CITY,0,,,41.8,525d53ed-db27-4e53-87b3-c29950fdb1cb,21158.5215502735
124,FIRST ST,,BURTON AV,BROKAW RD,35,2017-09-28T00:00:00.000Z,3,R,6900,35,19450,1.26,"4, divided",37,,0,,28,80,CITY,0,,,33,65b83483-3878-4331-840c-252ce9056d7a,6830.47264590021
125,FIRST ST,,SR-237,LIBERTY ST,35,2016-04-27T00:00:00.000Z,4,V,500,8,7400,1.04,"2, 4, divided/undivided",39.3, ,0,,29,76,CITY,0,,,35,abbe7ddd-581e-4e51-b37b-51a6be0cab8e,4856.653434005
126,FIRST ST,,ALMA AV,REED ST,35,2017-03-02T00:00:00.000Z,3,L,4845,90,17150,5.22,"4, 6, divided/undivided",37.3, ,0,,29,86,CITY,0,,,33.7,706db19e-e8b4-4047-a81a-6c7f4a0a7b6f,4838.08635051242
127,FLICKINGER AV,,BERRYESSA RD,HOSTETTER RD,40,2018-06-18T00:00:00.000Z,4,R,5400,14,10000,1.25,"4, divided",42.5, ,0,,35,94,CITY,0,,,38.5,44c49730-75a3-47ac-96b4-fbf0dac5c9ce,5382.91520272759
128,FLINT AV,,NORWOOD AV,MARTEN AV,30,2016-02-15T00:00:00.000Z,8,P,7700,11,2900,2.38,"2, undivided",34,,0,,26,84,CITY,0,,,30.5,2b2ca152-773d-400c-ab51-2d4116957597,7692.69435081783
129,FONTANOSO AV,,SILVER CREEK VALLEY RD,HELLYER AV,35,2017-02-03T00:00:00.000Z,8,X,2000,0,1250,0,"2, undivided",39, ,0,,30,68,CITY,0,,,34,50b5f99a-40e9-4549-8e63-b79388f6a6c5,2168.48864613787
130,FOREST AV,,WINCHESTER BL,BASCOM AV,35,2018-07-31T00:00:00.000Z,6,F,5275,19,12200,1.42,"4, undivided",38, ,0,,30,84,CITY,0,,,34.5,4ecf5d68-485d-4f4e-a54e-c981571ffbef,5324.5507883956
131,FORTUNE DR,,RINGWOOD AV,QUME DR,35,2013-12-05T00:00:00.000Z,4,R,2730,3,1450,3.65,"2, undivided w/2-way LT lane",39, ,0,,30,76,CITY,0,,,35,74bff00b-6e0f-49b1-8bc4-562a8f04980a,2728.41133311121
132,FOURTH ST,,JULIAN ST,COMMERCIAL ST,30,2015-11-13T00:00:00.000Z,3,V,7200,46,7250,4.25,"2,4, undivided",35, ,0,,26,80,CITY,0,,,30.5,990f1281-e0a7-42ef-9c48-b0ac0c2d9b1b,7245.03566311238
133,FOURTH ST,,REED ST,JULIAN ST,30,2017-04-10T00:00:00.000Z,3,E,5700,67,11950,4.74,"2, undivided",30.5, ,0,,23,87,CITY,0,,,26.5,c9f9fc4b-3c01-4d5d-a1e5-15b07533b145,5703.91106986348
134,FOURTH ST,,COMMERCIAL ST,OLD BAYSHORE HW,40,2012-01-23T00:00:00.000Z,3,R,4450,12,6150,2.11,"4, undivided",42, ,0,,32,71,CITY,0,,,36,92af2aa7-d8b1-46e8-b8fd-f558e3f9221c,4466.89638114276
135,MT PLEASANT RD,,MARTEN AV,CLAYTON RD,30,2012-08-23T00:00:00.000Z,5,CP,2250,5,6600,1.62,"2, undivided w/ 2-way LT lane",34, ,0,,26,89,CITY,0,,,29.5,b9b0dbd9-742e-471c-b3ab-a6a439877531,2242.86088187174
136,FOWLER RD,,SAN FELIPE RD,LITTLEWORTH WY,30,2015-01-23T00:00:00.000Z,8,P,4600,1,4800,0.22,"2, undivided",31,,0,,24,89,CITY,0,,,27.5,badd958c-ff76-476b-a776-3c60845d42c0,4324.08488491108
137,FOXWORTHY AV,,BASCOM AV,OLD ALMADEN RD,30,2013-06-27T00:00:00.000Z,9,T,18600,72,5500,3.39,"2, undivided",32.3, ,0,,25,92,CITY,0,,,29.5,45cefcc9-5f3a-47ee-9c3c-781e2de27524,18605.7187127383
138,FOXWORTHY AV,,OLD ALMADEN RD,HILLSDALE AV,35,2012-02-09T00:00:00.000Z,9,,1950,14,10100,3.43,"4, divided",38, ,0,,31,83,CITY,0,,,34,7dec65e9-e870-4105-a11e-18cdcc8b7a99,1967.33442367824
139,FRUITDALE AV,,BASCOM AV,MERIDIAN AV,35,2012-03-19T00:00:00.000Z,6,S,5200,68,12150,5.19,"4, undivided",37.5, ,0,,30,83,CITY,0,,,33.5,24ed6a54-519a-42ba-a152-5335c76deb9f,5220.99529476911
140,FRUITDALE AV,,MERIDIAN AV,RACE ST,30,2012-07-09T00:00:00.000Z,6,S,850,7,8250,4.81,"2, undivided",31, ,0,,24,96,CITY,0,,,28,e4043604-de5c-44d3-8533-b7a473e95c78,861.544287440639
141,GATON DR (L),,MERIDIAN AV,HAMILTON AV,25,1996-02-17T00:00:00.000Z,6,S,2114,3,2100,3.19,a / 2,29, ,1,25.740000,21,86,CITY,0,,,,46dc9d86-9151-46e5-b7f9-dbec42e33832,2240.67256716562
142,GLEN EYRIE AV (L),,LINCOLN AV,WILLOW ST,25,1993-03-26T00:00:00.000Z,6,S,3750,11,1500,9.4,a / 2,30,,1,26.500000,22,86,CITY,0,,,,e631568e-feee-416c-887d-85e948712ecc,3911.01911692495
143,GRAND BL,,FIRST ST,LOS ESTEROS RD,30,2014-04-14T00:00:00.000Z,4,R,2640,1,900,2.03,"2, undivided",34, ,0,,26,81,CITY,0,,,30,cfcb3f1c-af99-4efa-bcf1-4280c4f1d507,3290.49370867831
144,GREAT OAKS BL,,SANTA TERESA BL,SR-85,40,2018-10-23T00:00:00.000Z,2,Y,4920,10,11700,0.84,"4, divided",41,,0,,33,90,CITY,0,,,37,40353263-f07e-4d16-af1b-a9e407440f50,5281.80678107832
145,GUADALUPE MINES RD,,S CITY LIMIT,CAMDEN AV,35,2014-04-10T00:00:00.000Z,10,A,3000,3,2950,1.63,"2, undivided",38,,0,,29,84,CITY,0,,,34,acf09939-7ca8-48a0-8095-6bdcab774d00,12004.4409060096
146,HAMILTON AV,,MERIDIAN AV,HICKS AV,35,2012-04-23T00:00:00.000Z,6,S,2700,24,14550,2.95,"2, undivided",38, ,0,,30,90,CITY,0,,,35,29874fb2-77e6-49e8-9bb1-e9d2afec6b8f,2688.37619189162
147,HAMILTON AV,,CAMPBELL AV,BECK DR,35,2012-04-04T00:00:00.000Z,1,N,5650,53,16550,2.73,"4, undivided w/ 2-way LT lane",40, ,0,,31,87,CITY,0,,,36,03b7fb6b-820f-461f-b158-f4e2764420e5,5641.20930767037
148,HARRY RD,,McKEAN RD,300' N/O CAMDEN AV,35,2014-08-22T00:00:00.000Z,10,A,2800,2,2900,1.19,"2, undivided",39, ,0,,30,86,CITY,0,,,35,6dfef973-606f-4460-898d-553a76a4ba74,2415.73409652318
149,HAYES AV,,LEAN AV,COTTLE RD,30,2016-04-12T00:00:00.000Z,2,X,4020,7,3050,2.75,"2, undivided",36, ,0,,26,87,CITY,0,,,31.5,56a15e86-8993-49fd-82a2-f71e8b506176,4092.58999617719
150,HEATON MOOR DR,,ENDMOOR DR,BERNAL RD,25,2017-09-14T00:00:00.000Z,10,Y,3050,1,800,1.98,"2, undivided",29,,0,,20,85,CITY,0,,,25.3,d10bbaaa-2f06-457b-9536-bbd271a8e118,3052.72360725952
151,HEDDING ST,,OAKLAND RD,MABURY RD,35,2015-10-26T00:00:00.000Z,3,VR,2050,26,14150,4.32,"2, undivided",41, ,0,,34,84,CITY,0,,,37,619e6c86-ac48-47bb-b226-c848cb2e807e,2102.52440522793
152,HEDDING ST,,BASCOM AV,THE ALAMEDA,35,2012-03-05T00:00:00.000Z,6,F,4600,23,7000,3.44,"4, undivided",38.5,,0,,30,87,CITY,0,,,35,2905525b-94fd-4a67-846f-08a3630a2321,4647.98884563228
153,HEDDING ST,,GUADALUPE PW,OAKLAND RD,30,2018-07-10T00:00:00.000Z,3,V,6100,63,13950,3.57,"2, undivided/divided",34, ,0,,27,92,CITY,0,,,30.3,49b17eb2-318b-4bb2-aa49-0728a540a615,6167.38591892135
154,HEDDING ST,,THE ALAMEDA,GUADALUPE PW,35,2018-07-11T00:00:00.000Z,3,FV,5300,31,16100,1.75,"2, 4, undivided",39, ,1,,32,85,CITY,0,,,35.5,e7e405e5-c041-4e55-a448-1184a3085235,5405.02459617256
155,HEDDING ST,,WINCHESTER BL,BASCOM AV,35,2012-01-23T00:00:00.000Z,6,F,4800,17,10850,1.57,"4, undivided",39, ,0,,31,90,CITY,0,,,36,867c7486-7447-4e8e-9f6b-aa4554d188d1,4768.70873233903
156,HELLYER AV,,SENTER RD,PALISADE DR,35,2013-07-08T00:00:00.000Z,7,X,3100,20,6100,5.1,"2, undivided",37, ,0,,29,86,CITY,0,,,34,b8b49456-fd37-48e3-b973-4eff66a55bba,3119.78513791462
157,HELLYER AV,,FONTANOSO WY,BAYSHORE FW,45,2016-02-15T00:00:00.000Z,2,X,9280,2,3600,0.29,"4, divided",48.3,,0,,38,75,CITY,0,,,43.3,e755b5c5-d6fb-42a1-8a24-9d42e98cdb3b,9256.89577170509
158,HICKS AV,,MINNESOTA AV,CURTNER AV,25,2002-08-09T00:00:00.000Z,6,T,6000,7,4600,1.2,c / 2,32.5, ,0,29.300000,25,90,CITY,0,,,,bf070c4b-88f6-49b8-9ea7-350a15d30087,6031.71539673029
159,HILLSDALE AV,,PEARL AV,SNELL AV,40,2012-01-23T00:00:00.000Z,7,X,7200,32,10600,2.02,"2, 4, divided/undivided",42.3, ,0,,34,81,CITY,0,,,38.7,3292f652-fee5-475f-9d34-34ecea364a7f,7133.08766085234
160,HILLSDALE AV,,CAMDEN AV,QUINTO WY,40,2014-07-16T00:00:00.000Z,9,T,2350,20,19700,2.08,"6, divided",41.5, ,0,,34,90,CITY,0,,,37.5,a0df88b9-5b50-40f1-8ee9-4ab530d65f93,2566.73216904607
161,HILLSDALE AV,,QUINTO WY,ALMADEN EX,40,2013-09-23T00:00:00.000Z,9,T,10700,62,23900,1.17,"6, undivided w/ 2-way LT lane",44, ,0,,36,89,CITY,0,,,40.7,231060ef-2d34-4656-bab8-433f0f8b14fc,10323.2044560785
162,HOLGER WAY,,ZANKER RD,HEADQUARTERS DR,35,2016-09-09T00:00:00.000Z,4,R,3450,6,8550,0.98,"2, undivided",39.5, ,0,,31,82,CITY,0,,,36,05c218fb-1170-4dd5-88bf-29fb794c3700,3458.38149367362
163,HOSTETTER RD,,LUNDY AV,CAPITOL AV,40,2012-06-20T00:00:00.000Z,4,R,5570,116,42900,2.34,"6, divided",42.5, ,0,,35,83,CITY,0,,,39,51f994c1-c3a1-47fb-84e4-8222a64f62c5,5565.00336190558
164,HOSTETTER RD,,CAPITOL AV,PIEDMONT RD,35,2013-07-17T00:00:00.000Z,4,W,7300,28,14300,1.29,"2, 4, undivided/divided",39.5, ,0,,31,87,CITY,0,,,35.5,a1016665-1074-4bf1-a5ad-1583e9a34783,7344.64176639984
165,HOUNDSHAVEN WY (L),,SKYWAY DR,BRANHAM LN EAST,30,1989-11-20T00:00:00.000Z,8,X,3100,6,1700,7.2,a / 2,35.5,,1,29.900000,24.5,68,CITY,0,,,,d0778bd6-4d4c-4167-b5ef-cf3a55f128bd,3146.01924002927
166,HYDE AV (L),,BOLLINGER RD,MILLER AV,25,1997-02-21T00:00:00.000Z,1,N,3200,5,1900,5.75,g / 1,30, ,1,26.100000,21,86,CITY,0,,,,869a1584-4525-4fe7-bbdf-29cde2ed3a28,3324.81289780436
167,HYDE PARK DR (L),,VISTAPARK DR,CHYNOWETH AV,30,1994-12-22T00:00:00.000Z,10,X,2400,9,2860,6.38,a / 2,37, ,1,31.900000,28,69,CITY,0,,,,8d7cb6a6-6b3c-4654-aa2c-e299b11637d0,2410.23827709157
168,INDIAN AV (L),,SANTA TERESA BLVD,BLOSSOM HILL RD,30,2014-06-24T00:00:00.000Z,10,Y,5280,2,400,4.57,"2, undivided",32, ,1,,22,68,CITY,0,,,28,16263912-53c3-4c99-9c52-713b90b8b1cb,5026.78008128503
169,INTERNATIONAL CIR,,HOSPITAL PW,HOSPITAL PW,20,2016-02-15T00:00:00.000Z,2,Y,2900,3,5100,0.98,"2, undivided",23, ,0,,16,89,CITY,0,,,21,feaa50e7-a008-47b5-906a-fd6a98b01e56,2909.78764893641
170,JACKSON AV,,McKEE RD,BERRYESSA RD,35,2018-07-31T00:00:00.000Z,4,M,7530,49,15150,2.07,"4, divided",38.5, ,0,,30,89,CITY,0,,,35,07aa8596-8ec7-4bc7-ac20-94d8398dc92c,7498.69740144594
171,JACKSON AV,,STORY RD,McKEE RD,35,2016-05-12T00:00:00.000Z,5,CM,8350,140,20900,3.87,"4, divided/undivided",38, ,0,,30,74,CITY,0,,,33.7,96b123ba-69e1-4b32-af8e-5454cdc7522d,8371.70134238437
172,JACOB AV,,MERIDIAN AV,JARVIS AV,30,2014-04-09T00:00:00.000Z,9,T,2900,1,1500,1.11,"2, undivided",33,,0,,25,84,CITY,0,,,29,f5aa648c-3231-40a4-aec8-98097cef1786,2925.44483745121
173,JARVIS AV,,BRANHAM LN,FOXWORTHY AV,30,2015-10-22T00:00:00.000Z,9,T,5400,9,3850,2.09,"2, undivided",34.5, ,0,,27,91,CITY,0,,,31,2c6ecefe-1c9a-426a-9fbd-b89f81552f35,5452.8777611787
174,JOHNSON AV,,PROSPECT RD,BOLLINGER RD,35,2013-08-01T00:00:00.000Z,1,N,6500,4,6950,0.43,"2, undivided w/2-way LT lane",38, ,0,,28,84,CITY,0,,,33.5,b627fa6b-8674-4272-9b18-9f25e595d0e6,6354.40718245576
175,JULIAN ST,,THIRD ST,TWENTY-FOURTH ST,25,2012-12-06T00:00:00.000Z,3,V,6800,83,7650,7.69,"2, undivided",30.5, ,0,,23,92,CITY,0,,,26.5,c7155073-17a8-4ddd-963f-e0d840d61703,6793.72398898511
176,JULIAN ST,,MONTGOMERY ST,MARKET ST,30,2004-11-02T00:00:00.000Z,3,E,3100,46,11200,6.38,g  / 4-6,35, ,0,31,26,79,CITY,0,,,,c042fdae-ca77-4aa4-9226-c06e45892e03,3143.02482703415
177,JULIAN ST,,TWENTY-FOURTH ST,US 101,35,2012-03-19T00:00:00.000Z,3,V,2000,50,15700,7.68,"4, divided/undivided",36, ,0,,27,84,CITY,0,,,32,4db4f6ad-92b0-43aa-ae9a-98d194f7657a,2194.39944023158
178,JUNCTION AV,,BROKAW RD,ZANKER RD,40,2017-02-07T00:00:00.000Z,4,R,9600,10,8850,0.57,"2, divided/undivided",40.3, ,0,,33,86,CITY,0,,,37.3,61aeb95f-0dce-498d-aacb-11b53b3bdb60,9647.16109509914
179,JUNCTION AV,,JUNCTION CT,BROKAW RD,35,2018-05-18T00:00:00.000Z,4,R,2100,11,8300,3.04,"2, undivided",38, ,0,,31,87,CITY,0,,,35,260ee752-589c-4af3-ac24-5e495800c082,2108.45329148166
180,JUNCTION AV,,ROGERS AV,JUNCTION CT,30,2018-05-18T00:00:00.000Z,4,R,1150,1,2800,1.5,"2, undivided",34, ,0,,26,88,CITY,0,,,30,5b06a00a-dec6-4579-851d-79b7b124e9e9,1180.19998214631
181,KEYES ST,,FIRST ST,SENTER RD,35,2013-07-17T00:00:00.000Z,3,L,4100,103,16000,7.57,"4, undivided/divided",36.5, ,0,,29,89,CITY,0,,,32,f08b37e0-e13e-4e1e-a63c-9df02ed835c9,4069.54113813638
182,KIELY BL,,STEVENS CREEK BL,NORTHLAKE DR,30,2012-09-21T00:00:00.000Z,1,N,3000,44,15000,4.71,"2, 4, undivided w/ 2-way LT lane",37, ,0,,28,81,CITY,0,,,32,3f62e9f2-de1a-496f-97ac-a82ccec0afe5,3013.80859464971
183,KING RD,,ABORN RD,STORY RD,35,2012-06-11T00:00:00.000Z,7,P,14500,300,23900,4.17,"4, undivided",37.8, ,0,,30,90,CITY,0,,,34,3bb30a09-f7b6-4338-9898-308a99c35aad,13855.9639505157
184,KING RD,,STORY RD,MCKEE RD,35,2011-03-02T00:00:00.000Z,5,CM,8200,197,17650,6.56,"2,3,4, undivided",36.3, ,0,,28,85,CITY,0,,,32.5,0432d234-99fe-401b-a295-632aa73d2475,8373.70609145723
185,KING RD / LUNDY AV,,McKEE RD,BERRYESSA RD,40,2010-11-23T00:00:00.000Z,4,MR,6745,76,15100,3.6,"4, divided/undivided",42.5, ,0,,35,94,CITY,0,,,38.5,96b4ec1d-d7cb-413d-b246-08c3cc129b7a,6879.34360081137
186,KIRK RD,,BRANHAM LN,HILLSDALE AV,30,2015-01-23T00:00:00.000Z,9,T,5000,5,2350,2.1,"2, undivided",33, ,0,,25,91,CITY,0,,,29,33a0267b-27c3-4215-b7f6-16fdbea4411f,5220.12777146974
187,KNIGHTS BRIDGE RD (L),,MORRILL AV,HAMPSTEAD WY,30,1999-01-15T00:00:00.000Z,4,W,3550,11,2500,6.14,a / 2,34, ,1,29.770000,24,77.78,CITY,0,,,,f42a2bc6-25b3-43c6-8bb7-dcaa0a53e9da,3371.17560910147
188,KOOSER RD,,CAMDEN AV,BLOSSOM HILL RD,35,2017-09-15T00:00:00.000Z,9,A,5480,16,11550,1.22,"2, 4, undivided",40, ,0,,32,92,CITY,0,,,36,43aa7db1-d6fa-4d8d-b10b-3687d3cad5f2,5465.86767103622
189,WINCHESTER BLVD,,NEWHALL ST,STEVENS CREEK BLVD,35,2010-06-08T00:00:00.000Z,6,,5120,25,15905,2.22,"4, divided",39.5,,0,34.310000,27,73.5,SANTA CLARA,0,,,,7ab3bee7-2a41-4539-82cc-743b1a9d0459,5124.29819390395
190,LANAI AV (L),,PENSACOLA DR,TULLY RD,25,1999-04-01T00:00:00.000Z,7,C,2100,36,6400,12.9,e / 2,34, ,1,29.070000,26,77,CITY,0,,,,0b6bbf4e-8e95-4272-9b21-8c2f1452e60f,2163.4035113121
191,LANDESS AV,,I-680,PIEDMONT RD,35,2013-06-07T00:00:00.000Z,4,W,6200,26,12000,1.69,"4, undivided/divided",38.7, ,0,,32,84,CITY,0,,,34.7,2886126f-1b6d-4e53-8b94-0a9cbbfd5e47,6287.64332100389
192,LAS PLUMAS AV,,MARBURG WY,EDUCATIONAL PARK DR,30,2014-04-14T00:00:00.000Z,3,W,4700,12,3900,3.16,"2, undivided",33.5,,0,,25,88,CITY,0,,,30,0c902c42-4f06-4a09-b20f-58afc07f7b67,4601.29341497119
193,LEAN AV,,SANTA TERESA BL,BLOSSOM HILL RD,30,2018-10-22T00:00:00.000Z,2,Y,5300,19,6950,2.49,"2, undivided",32.5, ,0,,26,96,CITY,0,,,29.5,3ee5848f-1300-4569-8cbe-e318c55ab774,5321.32662457895
194,LEAN AV,,BLOSSOM HILL RD,CHYNOWETH AV,35,2016-10-14T00:00:00.000Z,2,Y,2800,19,6450,5.07,"2, divided",38, ,0,,30,86,CITY,0,,,34,bef414b7-6e2b-4564-8f6d-a32b7d85bc15,2870.59298189655
195,LEEWARD DR (L),,STORY RD,OCALA AV,25,1995-11-15T00:00:00.000Z,5,C,4000,39,5000,10,a c / 2,35, ,1,31.600000,27,86,CITY,0,,,,81221684-5c77-4c69-a533-bf9c63741f76,4100.18041838318
196,LEIGH AV,,BRANHAM LN,FOXWORTHY AV,35,2013-09-23T00:00:00.000Z,9,T,6100,32,9300,2.72,"2, 4, undivided",39.5,,0,,32,88,CITY,0,,,36,241e4bf0-4c66-4b10-9362-e78fd93bad3a,6031.58381298971
197,LEIGH AV,,BLOSSOM HILL RD,BRANHAM LN,35,2013-05-22T00:00:00.000Z,10,A,5250,12,5900,1.87,"2, undivided w/ 2-way LT lane",39.5, ,0,,31,84,CITY,0,,,35.5,1449746a-2cd4-44ee-9ddc-7d2f6c2dce37,5379.18759407237
198,LEIGH AV,,HAMILTON AV,MOORPARK AV,35,2011-06-02T00:00:00.000Z,6,S,8250,72,9950,4.23,"4, undivided",40, ,0,,32,85,CITY,0,,,36,d18f4bdf-4942-4aa4-8a89-97c77e8d3bfe,8233.11952284535
199,LEIGH AV,,FOXWORTHY AV,DRY CREEK RD,35,2011-01-14T00:00:00.000Z,9,T,5975,46,13150,2.82,"4, undivided",38.5, ,0,,30,80,CITY,0,,,35,0b99b15b-77fa-4d0a-956d-75c66ef69364,5886.76221680139
200,LENZEN AV,,THE ALAMEDA,STOCKTON AV,30,2014-04-10T00:00:00.000Z,6,F,1900,4,4550,2.23,"2, undivided",29, ,0,,22,95,CITY,0,,,25,8e17c6bb-19b0-4a85-8b56-c467e7226d56,1908.86230343188
201,LEWIS RD,,MONTEREY RD,SENTER RD,30,2015-11-05T00:00:00.000Z,7,X,3900,23,6250,4.55,"2, undivided",32.5, ,0,,25,88,CITY,0,,,29.5,cc44b992-ef8b-4dab-87e7-0fabd364cc61,4050.75941311558
202,LEYLAND PARK DR,,McABEE RD,CAMDEN AV,25,2019-02-06T00:00:00.000Z,10,A,1710,2,3100,1.82,"2, undivided",29, ,0,,22,96,CITY,0,,,27,a81affb5-b355-47fc-8f72-f4f18ab0cfa1,1745.86302206694
203,LINCOLN AV,,CURTNER AV,MINNESOTA AV,35,2018-04-02T00:00:00.000Z,6,S,5700,23,15100,1.29,"4, undivided",38, ,0,,30,84,CITY,0,,,34.5,fd5f2b5e-20de-4cc4-89f6-fe5a7deb945a,5804.16065081541
204,LINCOLN AV,,MINNESOTA AV,COE AV,25,2017-10-13T00:00:00.000Z,6,S,3600,19,14700,1.73,"2, undivided",28.5, ,0,,21,92,CITY,0,,,25,6c73ed20-227d-44f6-93fa-a9fa9a4f4ccf,3741.74647850273
205,LINCOLN AV,,COE AV,SAN CARLOS ST,35,2018-04-02T00:00:00.000Z,6,FS,5400,19,9900,1.71,"4, undivided",38, ,0,,29,80,CITY,0,,,34.5,db4b0143-4fff-4f60-8634-862f843abef1,4439.55306522868
206,LINCOLN AV,,ALMADEN EX,CURTNER AV,35,2016-02-15T00:00:00.000Z,6,T,1500,9,12450,2.32,"4, undivided",41, ,0,,31,77,CITY,0,,,36,87865d45-aaa1-46ce-a703-343fcf6bae1f,1573.30035756176
207,LITTLE ORCHARD ST,,CURTNER AV,SAN JOSE AV,40,2016-02-16T00:00:00.000Z,7,L,4100,17,9100,2.2,"3, divided",39.7,,0,,33,91,CITY,0,,,36,d65e2784-5452-4739-b945-b15274a40a9e,4169.91362176437
208,LITTLEWORTH WY (L),,FOWLER RD,FALERNO WY,25,1993-09-16T00:00:00.000Z,8,P,2900,0,340,0,a / 2,37,,1,29.600000,23,68,CITY,0,,,,71c4b368-f5d0-4a5f-ab0d-615254c276e4,2810.06481751708
209,LOS ESTEROS RD,,GRAND BL,ZANKER RD,45,2011-03-18T00:00:00.000Z,4,R,6650,5,3200,1.13,"2, undivided",47.5, ,0,,36,66,CITY,0,,,41.5,46c104fd-b776-4936-864d-6e0506e0aca0,7314.44353888308
